id,kode,nama,biaya_panggilan_id
161,11.01.09.2004,Ie Meudama,
162,11.01.09.2005,Tuepin Tinggi,
163,11.01.09.2006,Kuta Baro,
164,11.01.09.2007,Panton Bilie,
165,11.01.09.2012,Kuta Padang,
166,11.01.09.2013,Raket,
167,11.01.09.2014,Gampong Teungoh,
168,11.01.09.2015,Seuneubok  Jaya,
169,11.01.09.2016,Padang Harapan,
170,11.01.10,Pasi Raja,
171,11.01.10.2001,Ladang Teungoh,
172,11.01.10.2002,Pucok Krueng,
173,11.01.10.2003,Silolo,
174,11.01.10.2004,Kampung Baru,
175,11.01.10.2005,Panton Bili,
176,11.01.10.2006,Paya Ateuk,
177,11.01.10.2007,Ladang Tuha,
178,11.01.10.2008,Mata Ie,
179,11.01.10.2009,Ujong Batee,
180,11.01.10.2010,Lhok Sialang Cut,
181,11.01.10.2011,Seuneubok,
182,11.01.10.2012,Ie Mirah,
183,11.01.10.2013,Pasie Rasian,
184,11.01.10.2014,Ujung Padang Rasian,
185,11.01.10.2015,Krueng Kalee,
186,11.01.10.2016,Lhok Sialang Rayeuk,
187,11.01.10.2017,Gampong Baro,
188,11.01.10.2018,Teupin Gajah,
189,11.01.10.2019,Ujung Padang Asahan,
190,11.01.10.2020,Pulo Ie II,
191,11.01.10.2021,Pante Raja,
192,11.01.11,Labuhan Haji Timur,
193,11.01.11.2001,Tengah Peulumat,
194,11.01.11.2002,Paya Peulumat,
195,11.01.11.2003,Padang Peulumat,
196,11.01.11.2004,Aur Peulumat,
197,11.01.11.2005,Limau Saring,
198,11.01.11.2006,Beutong,
199,11.01.11.2007,Peuneulop,
200,11.01.11.2008,Gunung Rotan,
201,11.01.11.2009,Keumumu  Hilir,
202,11.01.11.2010,Keumumu Hulu,
203,11.01.11.2011,Keumumu Seberang,
204,11.01.11.2012,Sawang Indah,
205,11.01.12,Labuhan Haji Barat,
206,11.01.12.2001,Tutong,
207,11.01.12.2002,Teungoh Iboh,
208,11.01.12.2003,Peulokan,
209,11.01.12.2004,Kuta Iboh,
210,11.01.12.2005,Ujung Padang,
211,11.01.12.2006,Blang Baru,
212,11.01.12.2007,Blang Poroh,
213,11.01.12.2008,Pulo Ie,
214,11.01.12.2009,Suak Lokan,
215,11.01.12.2010,Iku Lhueng,
216,11.01.12.2011,Kuta Trieng,
217,11.01.12.2012,Pante Geulima,
218,11.01.12.2013,Panton Pawoh,
219,11.01.12.2014,Batee Meucanang,
220,11.01.12.2015,Panton Rubek,
221,11.01.13,Kluet Tengah,
222,11.01.13.2001,Koto,
223,11.01.13.2002,Alur Keujrun,
224,11.01.13.2003,Jambo Papan,
225,11.01.13.2004,Malaka,
226,11.01.13.2005,Koto Indarung,
227,11.01.13.2006,Siurai-Urai,
228,11.01.13.2007,Kampung Sawah,
229,11.01.13.2008,Kampung Padang,
230,11.01.13.2009,Pulo Air,
231,11.01.13.2010,Lawe Melang,
232,11.01.13.2011,Mersak,
233,11.01.13.2012,Simpang Dua,
234,11.01.13.2013,Simpang Tiga,
235,11.01.14,Kluet Timur,
236,11.01.14.2001,Paya Dapur,
237,11.01.14.2002,Sapik,
238,11.01.14.2003,Alai,
239,11.01.14.2004,Durian Kawan,
240,11.01.14.2005,Lawe Sawah,
241,11.01.14.2006,Lawe Buluh Didi,
242,11.01.14.2007,Pucuk Lembang,
243,11.01.14.2008,Paya Laba,
244,11.01.14.2009,Lawe Cimanok,
245,11.01.15,Bakongan  Timur,
246,11.01.15.2001,Pasie Seubadeh,
247,11.01.15.2002,Ladang Rimba,
248,11.01.15.2003,Ujong Pulo Rayeuk,
249,11.01.15.2004,Sawah Tingkeum,
250,11.01.15.2005,Simpang,
251,11.01.15.2006,Ujong Pulo Cut,
252,11.01.15.2008,Seuleukat,
253,11.01.16,Trumon Timur,
254,11.01.16.2005,Pinto Rimba,
255,11.01.16.2006,Krueng Luas,
256,11.01.16.2007,Jambo Dalem,
257,11.01.16.2008,Kapa Sesak,
258,11.01.16.2009,Seuneubok Punto,
259,11.01.16.2010,Seuneubok Pusaka,
260,11.01.16.2011,Alur Bujok,
261,11.01.16.2012,Titi Poben,
262,11.01.17,Kota Bahagia,
263,11.01.17.2001,Buket Gadeng,
264,11.01.17.2002,Rambong,
265,11.01.17.2003,Seuneubok  Keuranji,
266,11.01.17.2004,Seuneubok  Alur Buloh,
267,11.01.17.2005,Ujong Tanoh,
268,11.01.17.2006,Ujong Gunong Cut,
269,11.01.17.2007,Ujong Gunung Rayeuk,
270,11.01.17.2008,Beutong,
271,11.01.17.2009,Jambo Keupok,
272,11.01.17.2010,Alurduamas,
273,11.01.18,Trumon Tengah,
274,11.01.18.2001,Ladang Rimba,
275,11.01.18.2002,Gunong Kapho,
276,11.01.18.2003,Kampong Teungoh,
277,11.01.18.2004,Krueng Batee,
278,11.01.18.2005,Pulo Paya,
