id,kode,nama,biaya_panggilan_id
28401,32.02.10.2007,Cibatu,
28402,32.02.10.2008,Kertaraharja,
28403,32.02.10.2009,Sukamulya,
28404,32.02.10.2010,Bojongraharja,
28405,32.02.11,Cibadak,
28406,32.02.11.1001,Cibadak,
28407,32.02.11.2002,Sekarwangi,
28408,32.02.11.2003,Pamuruyan,
28409,32.02.11.2004,Karangtengah,
28410,32.02.11.2005,Neglasari,
28411,32.02.11.2006,Warnajati,
28412,32.02.11.2007,Tenjojaya,
28413,32.02.11.2008,Ciheulang Tonggoh,
28414,32.02.11.2009,Sukasirna,
28415,32.02.11.2010,Batununggal,
28416,32.02.12,Nagrak,
28417,32.02.12.2001,Kalaparea,
28418,32.02.12.2002,Pawenang,
28419,32.02.12.2003,Nagrak Utara,
28420,32.02.12.2004,Cisarua,
28421,32.02.12.2009,Balekambang,
28422,32.02.12.2010,Babakan Panjang,
28423,32.02.12.2011,Darmareja,
28424,32.02.12.2012,Cihanyawar,
28425,32.02.12.2013,Nagrak Selatan,
28426,32.02.12.2014,Girijaya,
28427,32.02.13,Parungkuda,
28428,32.02.13.2001,Parungkuda,
28429,32.02.13.2002,Palasari Hilir,
28430,32.02.13.2003,Kompa,
28431,32.02.13.2004,Pondokkaso Landeuh,
28432,32.02.13.2005,Sundawenang,
28433,32.02.13.2006,Bojongkokosan,
28434,32.02.13.2007,Langensari,
28435,32.02.13.2008,Babakanjaya,
28436,32.02.14,Bojonggenteng,
28437,32.02.14.2001,Bojonggenteng,
28438,32.02.14.2002,Cibodas,
28439,32.02.14.2003,Berekah,
28440,32.02.14.2004,Cipanengah,
28441,32.02.14.2005,Bojonggaling,
28442,32.02.15,Parakansalak,
28443,32.02.15.2001,Parakan Salak,
28444,32.02.15.2002,Bojong Longok,
28445,32.02.15.2003,Sukakersa,
28446,32.02.15.2004,Sukatani,
28447,32.02.15.2005,Bojongasih,
28448,32.02.15.2006,Lebaksari,
28449,32.02.16,Cicurug,
28450,32.02.16.1001,Cicurug,
28451,32.02.16.2002,Nyangkowek,
28452,32.02.16.2003,Tenjolaya,
28453,32.02.16.2004,Benda,
28454,32.02.16.2005,Pasawahan,
28455,32.02.16.2006,Cisaat,
28456,32.02.16.2007,Purwasari,
28457,32.02.16.2008,Caringin,
28458,32.02.16.2009,Tenjoayu,
28459,32.02.16.2010,Kutajaya,
28460,32.02.16.2011,Mekarsari,
28461,32.02.16.2012,Bangbayang,
28462,32.02.16.2013,Nanggerang,
28463,32.02.17,Cidahu,
28464,32.02.17.2001,Pondokaso Tonggoh,
28465,32.02.17.2002,Babakanpari,
28466,32.02.17.2003,Pondokaso Tengah,
28467,32.02.17.2004,Cidahu,
28468,32.02.17.2005,Tangkil,
28469,32.02.17.2006,Jayabakti,
28470,32.02.17.2007,Girijaya,
28471,32.02.17.2008,Pasirdoton,
28472,32.02.18,Kalapanunggal,
28473,32.02.18.2001,Kalapanunggal,
28474,32.02.18.2002,Palasari Girang,
28475,32.02.18.2003,Pulosari,
28476,32.02.18.2004,Makasari,
28477,32.02.18.2005,Kadununggal,
28478,32.02.18.2006,Walang Sari,
28479,32.02.18.2007,Gunungendut,
28480,32.02.19,Kabandungan,
28481,32.02.19.2001,Kabandungan,
28482,32.02.19.2002,Cipeuteuy,
28483,32.02.19.2003,Cihamerang,
28484,32.02.19.2004,Tugubandung,
28485,32.02.19.2005,Mekarjaya,
28486,32.02.19.2006,Cianaga,
28487,32.02.20,Waluran,
28488,32.02.20.2001,Waluran,
28489,32.02.20.2002,Sukamukti,
28490,32.02.20.2003,Caringinnunggal,
28491,32.02.20.2004,Mekarmukti,
28492,32.02.20.2005,Mangunjaya,
28493,32.02.20.2006,Waluran Mandiri,
28494,32.02.21,Jampangkulon,
28495,32.02.21.1001,Jampangkulon,
28496,32.02.21.2002,Bojonggenteng,
28497,32.02.21.2003,Cikarang,
28498,32.02.21.2005,Bojongsari,
28499,32.02.21.2007,Nagraksari,
28500,32.02.21.2008,Mekarjaya,
28501,32.02.21.2009,Tanjung,
28502,32.02.21.2011,Ciparay,
28503,32.02.21.2013,Padajaya,
28504,32.02.21.2014,Karanganyar,
28505,32.02.21.2016,Cikaranggeusan,
28506,32.02.22,Ciemas,
28507,32.02.22.2001,Ciemas,
28508,32.02.22.2002,Cibenda,
28509,32.02.22.2003,Ciwaru,
28510,32.02.22.2004,Mekarjaya,
28511,32.02.22.2005,Girimukti,
28512,32.02.22.2006,Tamanjaya,
28513,32.02.22.2007,Mandrajaya,
28514,32.02.22.2008,Sidamulya,
28515,32.02.22.2009,Mekarsakti,
28516,32.02.23,Kalibunder,
28517,32.02.23.2001,Kalibunder,
28518,32.02.23.2002,Bojong,
28519,32.02.23.2003,Cimahpar,
28520,32.02.23.2004,Sekarsari,
28521,32.02.23.2005,Sukaluyu,
28522,32.02.23.2006,Balekambang,
28523,32.02.23.2007,Mekarwangi,
28524,32.02.24,Surade,
28525,32.02.24.1013,Surade,
28526,32.02.24.2001,Jagamukti,
28527,32.02.24.2002,Citanglar,
28528,32.02.24.2003,Wanasari,
28529,32.02.24.2005,Sirnasari,
28530,32.02.24.2006,Kadaleman,
28531,32.02.24.2007,Gunungsungging,
28532,32.02.24.2008,Cipeundeuy,
28533,32.02.24.2009,Pasiripis,
28534,32.02.24.2010,Buniwangi,
28535,32.02.24.2011,Sukatani,
28536,32.02.24.2012,Kademangan,
28537,32.02.25,Cibitung,
28538,32.02.25.2001,Talagamurni,
28539,32.02.25.2002,Banyumurni,
28540,32.02.25.2003,Cibitung,
28541,32.02.25.2004,Cidahu,
28542,32.02.25.2005,Cibodas,
28543,32.02.25.2006,Banyuwangi,
28544,32.02.26,Ciracap,
28545,32.02.26.2001,Ciracap,
28546,32.02.26.2002,Cikangkung,
28547,32.02.26.2003,Gunungbatu,
28548,32.02.26.2004,Purwasedar,
28549,32.02.26.2005,Pasirpanjang,
28550,32.02.26.2006,Mekarsari,
28551,32.02.26.2007,Ujung Genteng,
28552,32.02.26.2008,Pangumbahan,
28553,32.02.27,Gunungguruh,
28554,32.02.27.2001,Cikujang,
28555,32.02.27.2002,Gunungguruh,
28556,32.02.27.2003,Cibentang,
28557,32.02.27.2004,Sirnaresmi,
28558,32.02.27.2005,Kebonmanggu,
28559,32.02.27.2006,Cibolang,
28560,32.02.27.2007,Mangkalaya,
28561,32.02.28,Cicantayan,
28562,32.02.28.2001,Cicantayan,
28563,32.02.28.2002,Lembursawah,
28564,32.02.28.2003,Cijalingan,
28565,32.02.28.2004,Cisande,
28566,32.02.28.2005,Cimahi,
28567,32.02.28.2006,Hegarmanah,
28568,32.02.28.2007,Sikadamai,
28569,32.02.28.2008,Cimanggis,
28570,32.02.29,Cisaat,
28571,32.02.29.2001,Gunungjaya,
28572,32.02.29.2002,Sukasari,
28573,32.02.29.2003,Sukamanah,
28574,32.02.29.2004,Cisaat,
28575,32.02.29.2005,Nagrak,
28576,32.02.29.2006,Babakan,
28577,32.02.29.2007,Sukamantri,
28578,32.02.29.2008,Cibatu,
28579,32.02.29.2009,Selajambe,
28580,32.02.29.2010,Padaasih,
28581,32.02.29.2011,Cibolang Kaler,
28582,32.02.29.2012,Kutasirna,
28583,32.02.29.2013,Sukaresmi,
28584,32.02.30,Kadudampit,
28585,32.02.30.2001,Kadudampit,
28586,32.02.30.2002,Citamiang,
28587,32.02.30.2003,Muaradua,
28588,32.02.30.2004,Gedepangrango,
28589,32.02.30.2005,Sukamanis,
28590,32.02.30.2006,Undrusbinangun,
28591,32.02.30.2007,Cipetir,
28592,32.02.30.2008,Sukamaju,
28593,32.02.30.2009,Cikahuripan,
28594,32.02.31,Caringin,
28595,32.02.31.2001,Caringin Wetan,
28596,32.02.31.2002,Sukamulya,
28597,32.02.31.2003,Caringin Kulon,
28598,32.02.31.2004,Seuseupan,
28599,32.02.31.2005,Cijengkol,
28600,32.02.31.2006,Mekarjaya,
28601,32.02.31.2007,Talaga,
28602,32.02.31.2008,Cikembang,
28603,32.02.31.2009,Pasir Datar Indah,
28604,32.02.32,Sukabumi,
28605,32.02.32.2001,Parungseah,
28606,32.02.32.2002,Sundajayagirang,
28607,32.02.32.2003,Karawang,
28608,32.02.32.2004,Warnasari,
28609,32.02.32.2005,Sukajaya,
28610,32.02.32.2006,Perbawati,
28611,32.02.33,Sukaraja,
28612,32.02.33.2001,Pasirhalang,
28613,32.02.33.2002,Selawi,
28614,32.02.33.2003,Langensari,
28615,32.02.33.2004,Sukaraja,
28616,32.02.33.2005,Limbangan,
28617,32.02.33.2006,Cisarua,
28618,32.02.33.2007,Sukamekar,
28619,32.02.33.2008,Selawangi,
28620,32.02.33.2009,Margaluyu,
28621,32.02.34,Kebonpedes,
28622,32.02.34.2001,Kebonpedes,
28623,32.02.34.2002,Cikaret,
28624,32.02.34.2003,Bojongsawah,
28625,32.02.34.2004,Sasagaran,
28626,32.02.34.2005,Jambenenggang,
28627,32.02.35,Cireunghas,
28628,32.02.35.2001,Cireunghas,
28629,32.02.35.2002,Cipurut,
28630,32.02.35.2003,Bencoy,
28631,32.02.35.2004,Cikurutug,
28632,32.02.35.2005,Tegalpanjang,
28633,32.02.36,Sukalarang,
28634,32.02.36.2001,Sukalarang,
28635,32.02.36.2002,Sukamaju,
28636,32.02.36.2003,Cimangkok,
28637,32.02.36.2004,Titisan,
28638,32.02.36.2005,Semplak,
28639,32.02.36.2006,Prianganjaya,
28640,32.02.37,Pabuaran,
28641,32.02.37.2001,Pabuaran,
28642,32.02.37.2002,Ciwalat,
28643,32.02.37.2003,Sirnasari,
28644,32.02.37.2004,Bantarsari,
28645,32.02.37.2005,Sukajaya,
28646,32.02.37.2006,Cibadak,
28647,32.02.37.2007,Lembur Sawah,
28648,32.02.38,Purabaya,
28649,32.02.38.2001,Purabaya,
28650,32.02.38.2002,Neglasari,
28651,32.02.38.2003,Pagelaran,
28652,32.02.38.2004,Cimerang,
28653,32.02.38.2005,Citamiang,
28654,32.02.38.2006,Margaluyu,
28655,32.02.38.2007,Cicukang,
28656,32.02.39,Nyalindung,
28657,32.02.39.2001,Nyalindung,
28658,32.02.39.2002,Neglasari,
28659,32.02.39.2003,Sukamaju,
28660,32.02.39.2004,Bojongkalong,
28661,32.02.39.2005,Cijangkar,
28662,32.02.39.2006,Mekarsari,
28663,32.02.39.2007,Wangunreja,
28664,32.02.39.2008,Cisitu,
28665,32.02.39.2009,Bojongsari,
28666,32.02.39.2010,Kertaangsana,
28667,32.02.40,Gegerbitung,
28668,32.02.40.2001,Gegerbitung,
28669,32.02.40.2002,Cijurey,
28670,32.02.40.2003,Ciengang,
28671,32.02.40.2004,Karangjaya,
28672,32.02.40.2005,Caringin,
28673,32.02.40.2006,Sukamanah,
28674,32.02.40.2007,Buniwangi,
28675,32.02.41,Sagaranten,
28676,32.02.41.2001,Sagaranten,
28677,32.02.41.2002,Curugluhur,
28678,32.02.41.2003,Cibaregbeg,
28679,32.02.41.2004,Pasanggrahan,
28680,32.02.41.2005,Datarnangka,
28681,32.02.41.2006,Puncakmanggis,
28682,32.02.41.2007,Hegarmanah,
28683,32.02.41.2008,Gunungbentang,
28684,32.02.41.2009,Sinarbentang,
28685,32.02.41.2010,Cibitung,
28686,32.02.41.2011,Margaluyu,
28687,32.02.41.2012,Mekarsari,
28688,32.02.42,Curugkembar,
28689,32.02.42.2001,Curugkembar,
28690,32.02.42.2002,Cimenteng,
28691,32.02.42.2003,Tanjungsari,
28692,32.02.42.2004,Sindangraja,
28693,32.02.42.2005,Mekartanjung,
28694,32.02.42.2006,Nagrakjaya,
28695,32.02.42.2007,Bojong Tugu,
28696,32.02.43,Cidolog,
28697,32.02.43.2001,Cidolog,
28698,32.02.43.2002,Cipamingkis,
28699,32.02.43.2003,Cikarang,
28700,32.02.43.2004,Tegallega,
28701,32.02.43.2005,Mekarjaya,
28702,32.02.44,Cidadap,
28703,32.02.44.2001,Padasenang,
28704,32.02.44.2002,Cidadap,
28705,32.02.44.2003,Banjarsari,
28706,32.02.44.2004,Hegarmulya,
28707,32.02.44.2005,Tenjolaut,
28708,32.02.44.2006,Mekartani,
28709,32.02.45,Tegalbuleud,
28710,32.02.45.2001,Tegalbuleud,
28711,32.02.45.2002,Bangbayang,
28712,32.02.45.2003,Sumberjaya,
28713,32.02.45.2004,Calingcing,
28714,32.02.45.2005,Nangela,
28715,32.02.45.2006,Rambay,
28716,32.02.45.2007,Buniasih,
28717,32.02.45.2008,Sirnamekar,
28718,32.02.46,Cimanggu,
28719,32.02.46.2001,Cimanggu,
28720,32.02.46.2002,Sukamaju,
28721,32.02.46.2003,Sukajadi,
28722,32.02.46.2004,Karangmekar,
28723,32.02.46.2005,Boregahindah,
28724,32.02.46.2006,Sukamanah,
28725,32.02.47,Ciambar,
28726,32.02.47.2001,Ciambar,
28727,32.02.47.2002,Ginanjar,
28728,32.02.47.2003,Wangunjaya,
28729,32.02.47.2004,Munjul,
28730,32.02.47.2005,Ambarjaya,
28731,32.02.47.2006,Cibunarjaya,
28732,32.03,KAB. CIANJUR,
28733,32.03.01,Cianjur,
28734,32.03.01.1006,Pamoyanan,
28735,32.03.01.1007,Sawahgede,
28736,32.03.01.1008,Bojongherang,
28737,32.03.01.1009,Sayang,
28738,32.03.01.1010,Solokpandan,
28739,32.03.01.1011,Muka,
28740,32.03.01.2001,Babakan Karet,
28741,32.03.01.2002,Nagrak,
28742,32.03.01.2003,Sukamaju,
28743,32.03.01.2004,Mekarsari,
28744,32.03.01.2005,Limbangansari,
28745,32.03.02,Warungkondang,
28746,32.03.02.2002,Jambudipa,
28747,32.03.02.2006,Cisarandi,
28748,32.03.02.2007,Cikaroya,
28749,32.03.02.2008,Bunikasih,
28750,32.03.02.2009,Ciwalen,
28751,32.03.02.2010,Tegallega,
28752,32.03.02.2011,Sukawangi,
28753,32.03.02.2014,Bunisari,
28754,32.03.02.2016,Sukamulya,
28755,32.03.02.2017,Cieundeur,
28756,32.03.02.2018,Mekarwangi,
28757,32.03.03,Cibeber,
28758,32.03.03.2001,Cipetir,
28759,32.03.03.2002,Cihaur,
28760,32.03.03.2003,Cimanggu,
28761,32.03.03.2004,Cibaregbeg,
28762,32.03.03.2005,Sukaraharja,
28763,32.03.03.2006,Peuteuycondong,
28764,32.03.03.2007,Mayak,
28765,32.03.03.2008,Cikondang,
28766,32.03.03.2009,Cibokor,
28767,32.03.03.2010,Selagedang,
28768,32.03.03.2011,Karangnunggal,
28769,32.03.03.2012,Kanoman,
28770,32.03.03.2013,Sukamaju,
28771,32.03.03.2014,Girimulya,
28772,32.03.03.2015,Cisalak,
28773,32.03.03.2016,Cibadak,
28774,32.03.03.2017,Sukamanah,
28775,32.03.03.2018,Salamnunggal,
28776,32.03.04,Cilaku,
28777,32.03.04.2001,Rancagoong,
28778,32.03.04.2002,Sukasari,
28779,32.03.04.2003,Sirnagalih,
28780,32.03.04.2004,Sukakerta,
28781,32.03.04.2005,Cibinonghilir,
28782,32.03.04.2006,Rahong,
28783,32.03.04.2007,Munjul,
28784,32.03.04.2008,Sindangsari,
28785,32.03.04.2009,Ciharashas,
28786,32.03.04.2010,Mulyasari,
28787,32.03.05,Ciranjang,
28788,32.03.05.2001,Ciranjang,
28789,32.03.05.2002,Sindangjaya,
28790,32.03.05.2004,Cibiuk,
28791,32.03.05.2005,Gunungsari,
28792,32.03.05.2006,Karangwangi,
28793,32.03.05.2007,Nanggalamekar,
28794,32.03.05.2008,Kertajaya,
28795,32.03.05.2009,Sindangsari,
28796,32.03.05.2012,Mekargalih,
28797,32.03.06,Bojongpicung,
28798,32.03.06.2001,Hegarmanah,
28799,32.03.06.2002,Bojongpicung,
28800,32.03.06.2004,Cibarengkok,
28801,32.03.06.2006,Kemang,
28802,32.03.06.2007,Sukajaya,
28803,32.03.06.2008,Jati,
28804,32.03.06.2009,Cikondang,
28805,32.03.06.2010,Sukarama,
28806,32.03.06.2012,Sukaratu,
28807,32.03.06.2013,Neglasari,
28808,32.03.06.2014,Jatisari,
28809,32.03.07,Karangtengah,
28810,32.03.07.2001,Sukamanah,
28811,32.03.07.2002,Bojong,
28812,32.03.07.2003,Sindanglaka,
28813,32.03.07.2004,Maleber,
28814,32.03.07.2005,Ciherang,
28815,32.03.07.2006,Sukamantri,
28816,32.03.07.2007,Sukasarana,
28817,32.03.07.2008,Sukasari,
28818,32.03.07.2009,Babakancaringin,
28819,32.03.07.2010,Sabandar,
28820,32.03.07.2011,Sindangasih,
28821,32.03.07.2012,Sukataris,
28822,32.03.07.2013,Langensari,
28823,32.03.07.2014,Hegarmanah,
28824,32.03.07.2015,Sukajadi,
28825,32.03.07.2016,Sukamulya,
28826,32.03.08,Mande,
28827,32.03.08.2001,Kademangan,
28828,32.03.08.2002,Bobojong,
28829,32.03.08.2003,Jamali,
28830,32.03.08.2004,Cikidangbayabang,
28831,32.03.08.2005,Mande,
28832,32.03.08.2006,Mulyasari,
28833,32.03.08.2007,Ciandam,
28834,32.03.08.2008,Sukamanah,
28835,32.03.08.2009,Leuwikoja,
28836,32.03.08.2010,Mekarjaya,
28837,32.03.08.2011,Kutawaringin,
28838,32.03.08.2012,Murnisari,
28839,32.03.09,Sukaluyu,
28840,32.03.09.2001,Selajambe,
28841,32.03.09.2002,Sukamulya,
28842,32.03.09.2003,Panyusuhan,
28843,32.03.09.2004,Tanjungsari,
28844,32.03.09.2005,Sidangraja,
28845,32.03.09.2006,Mekarjaya,
28846,32.03.09.2007,Sukasirna,
28847,32.03.09.2008,Sukaluyu,
28848,32.03.09.2009,Babakansari,
28849,32.03.09.2010,Hegarmanah,
28850,32.03.10,Pacet,
28851,32.03.10.2001,Ciherang,
28852,32.03.10.2003,Cibodas,
28853,32.03.10.2005,Sukanagalih,
28854,32.03.10.2007,Cipendawa,
28855,32.03.10.2010,Ciputri,
28856,32.03.10.2012,Gadog,
28857,32.03.10.2013,Sukatani,
28858,32.03.11,Cugenang,
28859,32.03.11.2001,Sukamanah,
28860,32.03.11.2002,Gasol,
28861,32.03.11.2003,Cijedil,
28862,32.03.11.2004,Cibeureum,
28863,32.03.11.2005,Nyalindung,
28864,32.03.11.2006,Mangunkerta,
28865,32.03.11.2007,Sarampad,
28866,32.03.11.2008,Talaga,
28867,32.03.11.2009,Sukajaya,
28868,32.03.11.2010,Cibulakan,
28869,32.03.11.2011,Benjot,
28870,32.03.11.2012,Sukamulya,
28871,32.03.11.2013,Wangunjaya,
28872,32.03.11.2014,Cirumput,
28873,32.03.11.2015,Padaluyu,
28874,32.03.11.2016,Galudra,
28875,32.03.12,Cikalongkulon,
28876,32.03.12.2001,Sukagalih,
28877,32.03.12.2002,Gudang,
28878,32.03.12.2003,Cinangsi,
28879,32.03.12.2004,Cijagang,
28880,32.03.12.2005,Majalaya,
28881,32.03.12.2006,Kamurang,
28882,32.03.12.2007,Warudoyong,
28883,32.03.12.2008,Ciramagirang,
28884,32.03.12.2009,Mekarjaya,
28885,32.03.12.2010,Sukamulya,
28886,32.03.12.2011,Padajaya,
28887,32.03.12.2012,Cigunungherang,
28888,32.03.12.2013,Neglasari,
28889,32.03.12.2014,Mekargalih,
28890,32.03.12.2015,Lembahsari,
28891,32.03.12.2016,Mentengsari,
28892,32.03.12.2017,Mekarsari,
28893,32.03.12.2018,Mekarmulya,
28894,32.03.13,Sukaresmi,
28895,32.03.13.2001,Cikanyere,
28896,32.03.13.2002,Cikancana,
28897,32.03.13.2003,Ciwalen,
28898,32.03.13.2004,Kawungluwuk,
28899,32.03.13.2005,Cibadak,
28900,32.03.13.2006,Sukamahi,
28901,32.03.13.2007,Sukaresmi,
28902,32.03.13.2008,Cibanteng,
28903,32.03.13.2009,Kubang,
28904,32.03.13.2010,Pakuon,
28905,32.03.13.2011,Rawabelut,
28906,32.03.14,Sukanagara,
28907,32.03.14.2001,Sukanagara,
28908,32.03.14.2002,Sukajembar,
28909,32.03.14.2003,Sukakarya,
28910,32.03.14.2004,Ciguha,
28911,32.03.14.2005,Sukamekar,
28912,32.03.14.2006,Gunungsari,
28913,32.03.14.2007,Sukalaksana,
28914,32.03.14.2008,Sukarame,
28915,32.03.14.2009,Sindangsari,
28916,32.03.14.2010,Jayagiri,
28917,32.03.15,Campaka,
28918,32.03.15.2001,Cidadap,
28919,32.03.15.2002,Cimenteng,
28920,32.03.15.2003,Susukan,
28921,32.03.15.2004,Sukajadi,
28922,32.03.15.2005,Sukadana,
28923,32.03.15.2006,Margaluyu,
28924,32.03.15.2007,Karyamukti,
28925,32.03.15.2008,Campaka,
28926,32.03.15.2009,Wangunjaya,
28927,32.03.15.2010,Girimukti,
28928,32.03.15.2011,Mekarjaya,
28929,32.03.16,Takokak,
28930,32.03.16.2001,Pasawahan,
28931,32.03.16.2002,Sindangresmi,
28932,32.03.16.2003,Sindanghayu,
28933,32.03.16.2004,Simpang,
28934,32.03.16.2005,Sukagalih,
28935,32.03.16.2006,Bungbangsari,
28936,32.03.16.2007,Cisujen,
28937,32.03.16.2008,Hegarmanah,
28938,32.03.16.2009,Waringinsari,
28939,32.03.17,Kadupandak,
28940,32.03.17.2003,Sukasari,
28941,32.03.17.2006,Pasirdalem,
28942,32.03.17.2008,Talagasari,
28943,32.03.17.2009,Bojongkasih,
28944,32.03.17.2010,Wargaasih,
28945,32.03.17.2011,Sukaraharja,
28946,32.03.17.2014,Sukakerta,
28947,32.03.17.2016,Neglasari,
28948,32.03.17.2017,Sukaresmi,
28949,32.03.17.2019,Wargasari,
28950,32.03.17.2020,Sukaraja,
28951,32.03.17.2021,Kadupandak,
28952,32.03.17.2022,Gandasari,
28953,32.03.17.2023,Sindangsari,
28954,32.03.18,Pagelaran,
28955,32.03.18.2001,Pagelaran,
28956,32.03.18.2002,Pangadegan,
28957,32.03.18.2004,Gelaranyar,
28958,32.03.18.2005,Buniwangi,
28959,32.03.18.2007,Sindangkerta,
28960,32.03.18.2008,Pasirbaru,
28961,32.03.18.2009,Bunijaya,
28962,32.03.18.2010,Situhiang,
28963,32.03.18.2011,Mekarsari,
28964,32.03.18.2012,Kertaraharja,
28965,32.03.18.2013,Selagedang,
28966,32.03.18.2014,Padamaju,
28967,32.03.18.2015,Karangharja,
28968,32.03.18.2018,Sukamaju,
28969,32.03.19,Tanggeung,
28970,32.03.19.2001,Tanggeung,
28971,32.03.19.2002,Rawagede,
28972,32.03.19.2003,Cilongsong,
28973,32.03.19.2004,Margaluyu,
28974,32.03.19.2005,Karangtengah,
28975,32.03.19.2006,Pagermaneuh,
28976,32.03.19.2007,Bojongpetir,
28977,32.03.19.2009,Pasirjambu,
28978,32.03.19.2010,Sirnajaya,
28979,32.03.19.2013,Kertajaya,
28980,32.03.19.2014,Sukajaya,
28981,32.03.19.2015,Padaluyu,
28982,32.03.20,Cibinong,
28983,32.03.20.2001,Pananggapan,
28984,32.03.20.2002,Cikangkareng,
28985,32.03.20.2003,Sukajadi,
28986,32.03.20.2004,Panyindangan,
28987,32.03.20.2005,Padasuka,
28988,32.03.20.2006,Cimaskara,
28989,32.03.20.2007,Pamoyanan,
28990,32.03.20.2008,Batulawang,
28991,32.03.20.2009,Sukamekar,
28992,32.03.20.2010,Hamerang,
28993,32.03.20.2011,Girijaya,
28994,32.03.20.2012,Wargaluyu,
28995,32.03.20.2013,Mekarmukti,
28996,32.03.20.2014,Ciburial,
28997,32.03.21,Sindangbarang,
28998,32.03.21.2001,Saganten,
28999,32.03.21.2002,Muaracikadu,
29000,32.03.21.2003,Jatisari,
29001,32.03.21.2004,Sirnagalih,
29002,32.03.21.2005,Jayagiri,
29003,32.03.21.2006,Kertasari,
29004,32.03.21.2007,Girimukti,
29005,32.03.21.2008,Talagasari,
29006,32.03.21.2009,Hegarsari,
29007,32.03.21.2010,Mekarlaksana,
29008,32.03.21.2011,Kertamukti,
29009,32.03.22,Agrabinta,
29010,32.03.22.2004,Sukamanah,
29011,32.03.22.2005,Bojongkaso,
29012,32.03.22.2006,Bunisari,
29013,32.03.22.2007,Wanasari,
29014,32.03.22.2010,Sinarlaut,
29015,32.03.22.2014,Neglasari,
29016,32.03.22.2016,Karangsari,
29017,32.03.22.2017,Mulyasari,
29018,32.03.22.2018,Tanjung Sari,
29019,32.03.22.2019,Mekarsari,
29020,32.03.22.2022,Wangunjaya,
29021,32.03.23,Cidaun,
29022,32.03.23.2001,Cidamar,
29023,32.03.23.2002,Cibuluh,
29024,32.03.23.2003,Cisalak,
29025,32.03.23.2004,Cimaragang,
29026,32.03.23.2005,Mekarjaya,
29027,32.03.23.2006,Kertajadi,
29028,32.03.23.2007,Sukapura,
29029,32.03.23.2008,Gelarpawitan,
29030,32.03.23.2009,Karangwangi,
29031,32.03.23.2010,Karyabakti,
29032,32.03.23.2011,Jayapura,
29033,32.03.23.2012,Neglasari,
29034,32.03.23.2013,Puncakbaru,
29035,32.03.23.2014,Gelarwangi,
29036,32.03.24,Naringgul,
29037,32.03.24.2001,Naringgul,
29038,32.03.24.2002,Balegede,
29039,32.03.24.2003,Wangunjaya,
29040,32.03.24.2004,Mekarsari,
29041,32.03.24.2005,Cinerang,
29042,32.03.24.2006,Wanasari,
29043,32.03.24.2007,Sukabakti,
29044,32.03.24.2008,Malati,
29045,32.03.24.2009,Wangunsari,
29046,32.03.24.2010,Sukamulya,
29047,32.03.24.2011,Margasari,
29048,32.03.25,Campakamulya,
29049,32.03.25.2001,Cibanggala,
29050,32.03.25.2002,Campakawarna,
29051,32.03.25.2003,Sukasirna,
29052,32.03.25.2004,Campakamulya,
29053,32.03.25.2005,Sukabungah,
29054,32.03.26,Cikadu,
29055,32.03.26.2001,Kalapanunggal,
29056,32.03.26.2002,Cikadu,
29057,32.03.26.2003,Mekarwangi,
29058,32.03.26.2004,Padaluyu,
29059,32.03.26.2005,Sukamulya,
29060,32.03.26.2006,Cisaranten,
29061,32.03.26.2007,Mekarlaksana,
29062,32.03.26.2008,Sukaluyu,
29063,32.03.26.2009,Mekarjaya,
29064,32.03.26.2010,Sukamanah,
29065,32.03.27,Gekbrong,
29066,32.03.27.2001,Bangbayang,
29067,32.03.27.2002,Songgom,
29068,32.03.27.2003,Sukaratu,
29069,32.03.27.2004,Cikancana,
29070,32.03.27.2005,Kebonpeuteuy,
29071,32.03.27.2006,Gekbrong,
29072,32.03.27.2007,Cikahuripan,
29073,32.03.27.2008,Cintaasih,
29074,32.03.28,Cipanas,
29075,32.03.28.2001,Cipanas,
29076,32.03.28.2002,Cimacan,
29077,32.03.28.2003,Ciloto,
29078,32.03.28.2004,Sindanglaya,
29079,32.03.28.2005,Batulawang,
29080,32.03.28.2006,Palasari,
29081,32.03.28.2007,Sindangjaya,
29082,32.03.29,Cijati,
29083,32.03.29.2001,Parakantugu,
29084,32.03.29.2002,Cijati,
29085,32.03.29.2003,Bojonglarang,
29086,32.03.29.2004,Padaasih,
29087,32.03.29.2005,Cibodas,
29088,32.03.29.2006,Sukamahi,
29089,32.03.29.2007,Sukaluyu,
29090,32.03.29.2008,Caringin,
29091,32.03.29.2009,Sinarbakti,
29092,32.03.29.2010,Sukamaju,
29093,32.03.30,Leles,
29094,32.03.30.2001,Pusakasari,
29095,32.03.30.2002,Walahir,
29096,32.03.30.2003,Purabaya,
29097,32.03.30.2004,Puncakwangi,
29098,32.03.30.2005,Sukajaya,
29099,32.03.30.2006,Nagasari,
29100,32.03.30.2007,Sukasirna,
29101,32.03.30.2008,Sukamulya,
29102,32.03.30.2009,Sirnasari,
29103,32.03.30.2010,Karyamukti,
29104,32.03.30.2011,Mandalawangi,
29105,32.03.30.2012,Sindangsari,
29106,32.03.31,Haurwangi,
29107,32.03.31.2001,Haurwangi,
29108,32.03.31.2002,Cihea,
29109,32.03.31.2003,Ramasari,
29110,32.03.31.2004,Mekarwangi/Sukatani,
29111,32.03.31.2005,Mekarwangi,
